sample_date,precipitation_sum,rain_sum,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,windspeed_10m_max,windspeed_10m_mean,winddirection_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,meteo_source,meteo_latitude,meteo_longitude
2026-05-01,15.3,15.3,28.8,33.5,24.5,81,22.8,15.2,219,20.63,4.78,open_meteo_archive,17.72,83.3
2026-05-02,0.3,0.3,29.4,34.1,24.4,79,25.5,17.5,228,22.31,5.37,open_meteo_archive,17.72,83.3
2026-05-03,0.1,0.1,29.2,33.0,26.6,82,17.2,12.8,213,15.64,3.74,open_meteo_archive,17.72,83.3
2026-05-04,1.9,1.9,28.9,32.5,25.9,81,12.3,7.2,188,19.27,4.25,open_meteo_archive,17.72,83.3
2026-05-05,4.7,4.7,29.4,34.3,25.7,73,15.9,8.4,203,23.32,5.5,open_meteo_archive,17.72,83.3
2026-05-06,0.4,0.4,28.7,33.3,24.7,76,16.2,8.6,186,20.69,4.79,open_meteo_archive,17.72,83.3
2026-05-07,1.3,1.3,29.8,33.8,26.0,71,15.6,7.1,188,22.42,5.16,open_meteo_archive,17.72,83.3
2026-05-08,1.6,1.6,28.9,32.7,25.8,74,13.6,7.6,127,21.85,4.79,open_meteo_archive,17.72,83.3
2026-05-09,0.1,0.1,29.4,33.4,25.9,71,13.6,7.1,143,23.09,5.26,open_meteo_archive,17.72,83.3
2026-05-10,0.2,0.2,29.4,33.6,26.1,69,15.2,7.5,124,24.17,5.6,open_meteo_archive,17.72,83.3
2026-05-11,0.3,0.3,28.9,33.7,24.4,73,13.9,8.1,109,23.55,5.38,open_meteo_archive,17.72,83.3
2026-05-12,0.2,0.2,29.4,33.2,26.0,74,16.0,8.5,98,23.64,5.32,open_meteo_archive,17.72,83.3
2026-05-13,0.0,0.0,29.7,33.5,26.5,74,15.2,8.3,115,23.4,5.29,open_meteo_archive,17.72,83.3
2026-05-14,0.3,0.3,29.9,33.9,27.1,75,18.0,8.7,123,22.76,5.14,open_meteo_archive,17.72,83.3
2026-05-15,0.0,0.0,30.6,35.8,26.9,73,15.3,9.2,179,22.33,5.39,open_meteo_archive,17.72,83.3
2026-05-16,0.0,0.0,30.9,35.0,27.9,72,15.6,9.6,180,23.55,5.64,open_meteo_archive,17.72,83.3
2026-05-17,0.0,0.0,30.9,35.4,27.2,74,17.5,12.7,207,22.4,5.68,open_meteo_archive,17.72,83.3
2026-05-18,0.0,0.0,31.4,35.8,28.3,72,20.3,16.3,216,23.45,6.22,open_meteo_archive,17.72,83.3
2026-05-19,0.0,0.0,31.6,36.0,28.2,74,19.1,15.5,213,24.34,6.21,open_meteo_archive,17.72,83.3
2026-05-20,0.0,0.0,32.8,38.8,28.7,73,16.1,11.7,208,23.23,5.91,open_meteo_archive,17.72,83.3
2026-05-21,0.1,0.1,34.7,41.1,30.0,64,17.4,11.8,220,23.59,6.7,open_meteo_archive,17.72,83.3
2026-05-22,0.1,0.1,33.6,36.8,30.6,67,18.0,10.8,204,20.34,5.53,open_meteo_archive,17.72,83.3
2026-05-23,0.0,0.0,34.9,41.7,30.1,58,11.8,8.6,203,24.11,6.64,open_meteo_archive,17.72,83.3
2026-05-24,0.0,0.0,33.3,37.9,29.5,71,12.8,9.2,181,24.63,6.14,open_meteo_archive,17.72,83.3
2026-05-25,0.0,0.0,32.6,37.2,29.7,73,13.3,10.0,179,23.29,5.81,open_meteo_archive,17.72,83.3
2026-05-26,0.0,0.0,33.2,38.9,29.7,72,15.4,11.4,199,24.26,6.24,open_meteo_archive,17.72,83.3
2026-05-27,0.0,0.0,33.7,41.5,29.0,60,15.7,11.4,224,21.83,6.37,open_meteo_archive,17.72,83.3
2026-05-28,0.1,0.1,32.2,37.0,29.4,71,17.0,12.5,198,23.46,6.09,open_meteo_archive,17.72,83.3
2026-05-29,1.2,1.2,32.7,38.7,28.0,67,12.1,7.6,182,24.25,6.05,open_meteo_archive,17.72,83.3
2026-05-30,0.0,0.0,31.3,34.4,28.5,75,16.2,8.9,192,19.0,4.73,open_meteo_archive,17.72,83.3
2026-05-31,0.0,0.0,31.3,36.0,27.8,72,15.6,10.0,204,21.04,5.3,open_meteo_archive,17.72,83.3
